stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
190161,2903,Lumijoki,,64.836929,25.188301,4,http://oulunliikenne.fi/2903,0,,Europe/Helsinki
148437,1331,Jokikylän th E,,65.192947,25.451838,4,http://oulunliikenne.fi/1331,0,,Europe/Helsinki
148227,2864,Montan leirintäalue P,,64.843242,26.008093,4,http://oulunliikenne.fi/2864,0,,Europe/Helsinki
56776,2123,OYS Sairaalaparkki P,,65.00925100000002,25.520812,2,http://oulunliikenne.fi/2123,0,,Europe/Helsinki
101709,1211,Piste P,,65.311799,25.576965,4,http://oulunliikenne.fi/1211,0,,Europe/Helsinki
120899,2245,Knuutilankangas E,,64.993103,25.561278,2,http://oulunliikenne.fi/2245,0,,Europe/Helsinki
148061,2858,Leppiniemi P,,64.843605,26.042961,4,http://oulunliikenne.fi/2858,0,,Europe/Helsinki
101618,1420,Mannintie E,,65.169775,25.596066,4,http://oulunliikenne.fi/1420,0,,Europe/Helsinki
101025,2976,Virkkula P,,64.81691600000002,25.325523,4,http://oulunliikenne.fi/2976,0,,Europe/Helsinki
98756,2856,Riihikyläntie P,,64.848565,25.89908,4,http://oulunliikenne.fi/2856,0,,Europe/Helsinki
121013,2395,Lumijärventie P,,64.973233,25.508314,2,http://oulunliikenne.fi/2395,0,,Europe/Helsinki
120987,2360,Kivipellon aukio E,,64.977473,25.586353,2,http://oulunliikenne.fi/2360,0,,Europe/Helsinki
98503,1585,Jäälinjärvi P,,65.101516,25.692202,3,http://oulunliikenne.fi/1585,0,,Europe/Helsinki
169659,3095,Peuraniemi P,,64.831204,25.687574,4,http://oulunliikenne.fi/3095,0,,Europe/Helsinki
150396,1244,Kumpu E,,65.293566,25.641553,4,http://oulunliikenne.fi/1244,0,,Europe/Helsinki
101505,1306,Kuivalanperäntie P,,65.204229,25.363513,3,http://oulunliikenne.fi/1306,0,,Europe/Helsinki
184155,3234,Kurkelantie E,,65.018737,25.51216,1,http://oulunliikenne.fi/3234,0,,Europe/Helsinki
101242,8089,Markkula P,,64.773188,25.754472,4,http://oulunliikenne.fi/8089,0,,Europe/Helsinki
120301,1506,Viitanmäki P,,65.130327,25.764904,3,http://oulunliikenne.fi/1506,0,,Europe/Helsinki
120922,2281,Nuolihaukka E,,64.99127,25.526024,2,http://oulunliikenne.fi/2281,0,,Europe/Helsinki
120087,1285,Ahtaajantie E,,65.2143268065214,25.30207684026354,3,http://oulunliikenne.fi/1285,0,,Europe/Helsinki
147973,2652,Ollila th E,,64.92615600000002,25.50609,3,http://oulunliikenne.fi/2652,0,,Europe/Helsinki
101662,1587,Koiteli E,,65.098833,25.812796,3,http://oulunliikenne.fi/1587,0,,Europe/Helsinki
189655,2667,Savikorpi E,,64.922827,25.496127,3,http://oulunliikenne.fi/2667,0,,Europe/Helsinki
101616,1409,Kiimingin kunnanraja E,,65.173287,25.587942,4,http://oulunliikenne.fi/1409,0,,Europe/Helsinki
310598,1960,Hietasaarentie P,,65.030568,25.448162,2,http://oulunliikenne.fi/1960,0,,Europe/Helsinki
150369,1332,Allikontie P,,65.192851,25.43228,4,http://oulunliikenne.fi/1332,0,,Europe/Helsinki
121121,2519,Porttiväylän alikulku P,,64.954903,25.524405,2,http://oulunliikenne.fi/2519,0,,Europe/Helsinki
307214,1963,Kiulukangas E,,65.028464,25.574083,2,http://oulunliikenne.fi/1963,0,,Europe/Helsinki
97704,2802,Rajakorpi E,,64.877517,25.512676,3,http://oulunliikenne.fi/2802,0,,Europe/Helsinki
148001,2937,Jokisilta E,,64.823556,25.591965,4,http://oulunliikenne.fi/2937,0,,Europe/Helsinki
101264,1881,Saviharju P,,65.03916700000002,25.717721,3,http://oulunliikenne.fi/1881,0,,Europe/Helsinki
